year,species_code,comp_type,base_iss_age,sub_iss_age,sub_samp,region
2014,30052,female,66.01932034934086,44.182126929747426,a50,ai
2014,30052,male,73.53209810794296,48.82508860228568,a50,ai
2014,30052,total,129.75547586562715,89.19703950457586,a50,ai
2014,30060,female,142.58810063266316,100.57164698972989,a50,ai
2014,30060,male,137.7725212367992,92.50795923574428,a50,ai
2014,30060,total,225.7496047461602,163.13999081850207,a50,ai
2014,30420,female,81.51253099107703,53.02613338474642,a50,ai
2014,30420,male,74.50123338926461,47.731327199416555,a50,ai
2014,30420,total,141.49678151388562,94.63794695220668,a50,ai
2016,10110,female,139.1885816950155,85.32346270381802,a50,ai
2016,10110,male,50.98964526910497,33.88023697160293,a50,ai
2016,10110,total,131.59143001810645,90.294738117543,a50,ai
2016,10112,female,68.56270623698363,46.93048442361372,a50,ai
2016,10112,male,68.1232768347642,49.267433074528874,a50,ai
2016,10112,total,104.10521429193746,78.54685886242113,a50,ai
2016,21720,female,102.17165954550052,66.49292189769042,a50,ai
2016,21720,male,111.03892725897562,74.61311950219265,a50,ai
2016,21720,total,152.98354387098837,104.59027143870848,a50,ai
2016,21740,female,50.835376583631714,44.490930756616635,a50,ai
2016,21740,male,19.56819643364009,18.11282743178904,a50,ai
2016,21740,total,34.55856304600341,32.53333043593309,a50,ai
2016,21921,female,25.513019674351696,20.95393692458807,a50,ai
2016,21921,male,32.69450090635191,22.99823205010085,a50,ai
2016,21921,total,38.48894704379188,32.35571051883249,a50,ai
2016,30052,female,53.28796210324179,33.75742160283319,a50,ai
2016,30052,male,58.47297513616215,36.46697814547393,a50,ai
2016,30052,total,107.46153791525032,69.029919670286,a50,ai
2016,30060,female,201.82875894181055,129.38407230211286,a50,ai
2016,30060,male,257.7971351123268,169.70128102937193,a50,ai
2016,30060,total,419.4279820993998,283.0672340129874,a50,ai
2016,30420,female,150.165619830766,96.44304085789736,a50,ai
2016,30420,male,68.74556883808089,43.793319953017,a50,ai
2016,30420,total,211.438659241688,138.79202228639096,a50,ai
2018,10110,female,137.30692165879617,84.61079327935661,a50,ai
2018,10110,male,97.13367005247405,58.88443030537877,a50,ai
2018,10110,total,200.00921770357397,124.41106797216769,a50,ai
2018,10112,female,86.03956292333748,61.18479466916538,a50,ai
2018,10112,male,76.11544819493884,58.924632651275616,a50,ai
2018,10112,total,116.74386294975332,93.78571578130912,a50,ai
2018,21720,female,135.9128472248335,77.83963364516288,a50,ai
2018,21720,male,117.8222876632668,66.94069302305304,a50,ai
2018,21720,total,197.61934770227413,112.14798224264943,a50,ai
2018,21740,female,111.17337088662606,87.69917577972764,a50,ai
2018,21740,male,62.48644759787732,46.65112628648431,a50,ai
2018,21740,total,105.52940710982315,86.11837914765663,a50,ai
2018,21921,female,86.48132593786852,70.71060432567208,a50,ai
2018,21921,male,94.36030061671416,78.71898245183435,a50,ai
2018,21921,total,121.59783208957116,105.64150988608772,a50,ai
2018,30051,female,3.1856172297115406,2.785532590695503,a50,ai
